	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Arabic WD Label	WD Qitem
44	[[:en:|en]]	[{{fullurl:en:Dardaghan}} Dardaghan]	0	0.0	190		 [{{fullurl:wikidata:Q5222409}} Q5222409]
45	[[:en:|en]]	[{{fullurl:en:Al-Zaafaraniyah}} Al-Zaafaraniyah]	0	0.0	190		 [{{fullurl:wikidata:Q4703357}} Q4703357]
46	[[:en:|en]]	[{{fullurl:en:Khirbet_Tin_Mahmoud}} Khirbet Tin Mahmoud]	33	1.0	190		 [{{fullurl:wikidata:Q6401759}} Q6401759]
49	[[:en:|en]]	[{{fullurl:en:Yabous,_Syria}} Yabous, Syria]	0	0.0	177		 [{{fullurl:wikidata:Q16903912}} Q16903912]
50	[[:fa:|fa]]	[{{fullurl:fa:عملیات_فتح‌المبین}} عملیات فتح‌المبین]	0	0.0	177		 [{{fullurl:wikidata:Q3267722}} Q3267722]
51	[[:en:|en]]	[{{fullurl:en:Al-Maqrousa}} Al-Maqrousa]	31	1.0	176		 [{{fullurl:wikidata:Q16826710}} Q16826710]
52	[[:en:|en]]	[{{fullurl:en:Maas,_Syria}} Maas, Syria]	0	0.0	176		 [{{fullurl:wikidata:Q16894425}} Q16894425]
53	[[:en:|en]]	[{{fullurl:en:Hosh_Bajed}} Hosh Bajed]	31	1.0	176		 [{{fullurl:wikidata:Q17062604}} Q17062604]
54	[[:en:|en]]	[{{fullurl:en:Administrative_districts_in_Baghdad}} Administrative districts in Baghdad]	0	0.0	172		 [{{fullurl:wikidata:Q4057640}} Q4057640]
55	[[:fa:|fa]]	[{{fullurl:fa:دهستان_دریسیه}} دهستان دریسیه]	0	0.0	171		 [{{fullurl:wikidata:Q39296641}} Q39296641]
56	[[:fa:|fa]]	[{{fullurl:fa:بخش_دارخوین}} بخش دارخوین]	0	0.0	171		 [{{fullurl:wikidata:Q56364479}} Q56364479]
58	[[:en:|en]]	[{{fullurl:en:Halfaya_Pass}} Halfaya Pass]	0	0.0	163		 [{{fullurl:wikidata:Q1570971}} Q1570971]
65	[[:he:|he]]	[{{fullurl:he:האוניברסיטה_הפתוחה}} האוניברסיטה הפתוחה]	0	0.0	150		 [{{fullurl:wikidata:Q1423960}} Q1423960]
66	[[:en:|en]]	[{{fullurl:en:Hunayn,_Saudi_Arabia}} Hunayn, Saudi Arabia]	69	6.0	148		 [{{fullurl:wikidata:Q4502362}} Q4502362]
67	[[:en:|en]]	[{{fullurl:en:Gdeim_Izik_protest_camp}} Gdeim Izik protest camp]	0	0.0	141		 [{{fullurl:wikidata:Q2661450}} Q2661450]
68	[[:en:|en]]	[{{fullurl:en:Khanaqin_District}} Khanaqin District]	17	4.0	141		 [{{fullurl:wikidata:Q6400173}} Q6400173]
