	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Hindi WD Label	WD Qitem
31	[[:ja:|ja]]	[{{fullurl:ja:ボーンスレー家_(ナーグプル)}} ボーンスレー家 (ナーグプル)]	5	7	69		 [{{fullurl:wikidata:Q4311709}} Q4311709]
36	[[:bn:|bn]]	[{{fullurl:bn:বঙ্গবাসী_কলেজ}} বঙ্গবাসী কলেজ]	5	1	63		 [{{fullurl:wikidata:Q4855008}} Q4855008]
38	[[:de:|de]]	[{{fullurl:de:Madhya_Bharat}} Madhya Bharat]	4	7	61		 [{{fullurl:wikidata:Q1308627}} Q1308627]
39	[[:bn:|bn]]	[{{fullurl:bn:বঙ্গ_মহিলা_বিদ্যালয়}} বঙ্গ মহিলা বিদ্যালয়]	0	1	60		 [{{fullurl:wikidata:Q4854995}} Q4854995]
41	[[:pl:|pl]]	[{{fullurl:pl:Tarangambadi}} Tarangambadi]	1	0	58		 [{{fullurl:wikidata:Q9355588}} Q9355588]
42	[[:te:|te]]	[{{fullurl:te:భువనగిరి}} భువనగిరి]	4	1	58		 [{{fullurl:wikidata:Q3766575}} Q3766575]
43	[[:bn:|bn]]	[{{fullurl:bn:কলকাতা_বন্দর}} কলকাতা বন্দর]	27	6	57		 [{{fullurl:wikidata:Q7231171}} Q7231171]
44	[[:de:|de]]	[{{fullurl:de:Andhra_(Bundesstaat)}} Andhra (Bundesstaat)]	3	5	56		 [{{fullurl:wikidata:Q4066154}} Q4066154]
45	[[:bn:|bn]]	[{{fullurl:bn:প্রেসিডেন্সি_বিভাগ}} প্রেসিডেন্সি বিভাগ]	20	8	56		 [{{fullurl:wikidata:Q1132340}} Q1132340]
46	[[:mr:|mr]]	[{{fullurl:mr:वसई_रोड}} वसई रोड]	1	1	55		 [{{fullurl:wikidata:Q7916309}} Q7916309]
47	[[:te:|te]]	[{{fullurl:te:కల్వకుర్తి}} కల్వకుర్తి]	4	2	54		 [{{fullurl:wikidata:Q6354782}} Q6354782]
48	[[:te:|te]]	[{{fullurl:te:మంగళగిరి}} మంగళగిరి]	21	16	52	[{{fullurl:hi:मंगलगिरि}} मंगलगिरि]	 [{{fullurl:wikidata:Q2349939}} Q2349939]
49	[[:ru:|ru]]	[{{fullurl:ru:Тикси_(монастырь)}} Тикси (монастырь)]	14	10	52		 [{{fullurl:wikidata:Q867066}} Q867066]
50	[[:ur:|ur]]	[{{fullurl:ur:پھول_پور}} پھول پور]	0	1	52		 [{{fullurl:wikidata:Q19726760}} Q19726760]
51	[[:ur:|ur]]	[{{fullurl:ur:خانزادی_پور}} خانزادی پور]	0	1	51		 [{{fullurl:wikidata:Q6400433}} Q6400433]
52	[[:ur:|ur]]	[{{fullurl:ur:آخری،_وارانسی}} آخری، وارانسی]	0	1	51		 [{{fullurl:wikidata:Q19726701}} Q19726701]
53	[[:ur:|ur]]	[{{fullurl:ur:اکوڑھا}} اکوڑھا]	0	1	51		 [{{fullurl:wikidata:Q19726703}} Q19726703]
54	[[:ur:|ur]]	[{{fullurl:ur:بالیاکھیری}} بالیاکھیری]	0	1	51		 [{{fullurl:wikidata:Q19726729}} Q19726729]
55	[[:ur:|ur]]	[{{fullurl:ur:اہراک}} اہراک]	0	1	51		 [{{fullurl:wikidata:Q19726690}} Q19726690]
56	[[:ur:|ur]]	[{{fullurl:ur:ایرلا}} ایرلا]	0	1	51		 [{{fullurl:wikidata:Q19726695}} Q19726695]
