	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Spanish WD Label	WD Qitem
16	[[:en:|en]]	[{{fullurl:en:Museo_Regional_del_Sureste_de_Petén}} Museo Regional del Sureste de Petén]	3	1	13		 [{{fullurl:wikidata:Q12062218}} Q12062218]
17	[[:ca:|ca]]	[{{fullurl:ca:Museu_Martorell}} Museu Martorell]	8	2	12	[{{fullurl:es:Museo_Martorell}} Museo Martorell]	 [{{fullurl:wikidata:Q11938056}} Q11938056]
18	[[:ca:|ca]]	[{{fullurl:ca:Museu_Comarcal_de_la_Conca_de_Barberà}} Museu Comarcal de la Conca de Barberà]	2	1	12	[{{fullurl:es:Museo_Comarcal_de_Cuenca_de_Barberá}} Museo Comarcal de Cuenca de Barberá]	 [{{fullurl:wikidata:Q18005081}} Q18005081]
19	[[:ca:|ca]]	[{{fullurl:ca:Arxiu_Històric_de_Sabadell}} Arxiu Històric de Sabadell]	1	1	10		 [{{fullurl:wikidata:Q17043923}} Q17043923]
20	[[:en:|en]]	[{{fullurl:en:Museo_Regional_de_Arqueología_de_la_Democracia,_Escuintla}} Museo Regional de Arqueología de la Democracia, Escuintla]	2	0	9		 [{{fullurl:wikidata:Q6940510}} Q6940510]
21	[[:en:|en]]	[{{fullurl:en:Ixchel_Museum_of_Indigenous_Textiles_and_Clothing}} Ixchel Museum of Indigenous Textiles and Clothing]	9	0	9		 [{{fullurl:wikidata:Q6101051}} Q6101051]
22	[[:en:|en]]	[{{fullurl:en:Caparra_Archaeological_Site}} Caparra Archaeological Site]	74	1	9	[{{fullurl:es:Caparra}} Caparra]	 [{{fullurl:wikidata:Q3656765}} Q3656765]
23	[[:nl:|nl]]	[{{fullurl:nl:Museo_de_Escultura_de_Leganés}} Museo de Escultura de Leganés]	1	0	9	[{{fullurl:es:Museo_de_Escultura_de_Leganés}} Museo de Escultura de Leganés]	 [{{fullurl:wikidata:Q2545595}} Q2545595]
24	[[:gl:|gl]]	[{{fullurl:gl:Museo_Naval_de_Ferrol}} Museo Naval de Ferrol]	0	2	8	[{{fullurl:es:Museo_Naval_de_Ferrol}} Museo Naval de Ferrol]	 [{{fullurl:wikidata:Q19969093}} Q19969093]
25	[[:ca:|ca]]	[{{fullurl:ca:Ecomuseu_de_les_Valls_d'Àneu}} Ecomuseu de les Valls d'Àneu]	3	0	8		 [{{fullurl:wikidata:Q11917975}} Q11917975]
