	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Punjabi WD Label	WD Qitem
26	[[:en:|en]]	[{{fullurl:en:Chanakyapuri}} Chanakyapuri]	276	2	33		 [{{fullurl:wikidata:Q12426223}} Q12426223]
27	[[:en:|en]]	[{{fullurl:en:Sunder_Nursery}} Sunder Nursery]	167	1	33		 [{{fullurl:wikidata:Q15628824}} Q15628824]
28	[[:en:|en]]	[{{fullurl:en:Karol_Bagh}} Karol Bagh]	604	8	32		 [{{fullurl:wikidata:Q13641055}} Q13641055]
29	[[:en:|en]]	[{{fullurl:en:Tomb_of_Jahangir}} Tomb of Jahangir]	458	13	32		 [{{fullurl:wikidata:Q3631186}} Q3631186]
30	[[:en:|en]]	[{{fullurl:en:Government_of_Delhi}} Government of Delhi]	1111	4	32		 [{{fullurl:wikidata:Q3633119}} Q3633119]
31	[[:en:|en]]	[{{fullurl:en:Delhi_University_Stadium}} Delhi University Stadium]	26	1	31		 [{{fullurl:wikidata:Q5253833}} Q5253833]
32	[[:en:|en]]	[{{fullurl:en:Delhi_Cantonment}} Delhi Cantonment]	272	17	31		 [{{fullurl:wikidata:Q1192604}} Q1192604]
33	[[:en:|en]]	[{{fullurl:en:Lajpat_Nagar}} Lajpat Nagar]	313	2	31		 [{{fullurl:wikidata:Q6474490}} Q6474490]
34	[[:en:|en]]	[{{fullurl:en:Ministry_of_Information_and_Broadcasting_(India)}} Ministry of Information and Broadcasting (India)]	1478	5	31		 [{{fullurl:wikidata:Q4294412}} Q4294412]
35	[[:en:|en]]	[{{fullurl:en:Hauz_Khas}} Hauz Khas]	664	2	30		 [{{fullurl:wikidata:Q11158601}} Q11158601]
36	[[:en:|en]]	[{{fullurl:en:National_War_Memorial_(India)}} National War Memorial (India)]	1524	3	29		 [{{fullurl:wikidata:Q17747063}} Q17747063]
37	[[:en:|en]]	[{{fullurl:en:Ramlila_Maidan}} Ramlila Maidan]	112	2	29		 [{{fullurl:wikidata:Q7289726}} Q7289726]
38	[[:en:|en]]	[{{fullurl:en:Ministry_of_Commerce_and_Industry_(India)}} Ministry of Commerce and Industry (India)]	1178	4	29		 [{{fullurl:wikidata:Q4294724}} Q4294724]
39	[[:en:|en]]	[{{fullurl:en:Nationalist_Congress_Party}} Nationalist Congress Party]	91325	12	29		 [{{fullurl:wikidata:Q1561861}} Q1561861]
40	[[:en:|en]]	[{{fullurl:en:Delhi_Suburban_Railway}} Delhi Suburban Railway]	127	2	29		 [{{fullurl:wikidata:Q5253820}} Q5253820]
41	[[:en:|en]]	[{{fullurl:en:Delhi_Transport_Corporation}} Delhi Transport Corporation]	268	4	28		 [{{fullurl:wikidata:Q3595653}} Q3595653]
42	[[:en:|en]]	[{{fullurl:en:Rohtak}} Rohtak]	990	40	28		 [{{fullurl:wikidata:Q1453180}} Q1453180]
43	[[:en:|en]]	[{{fullurl:en:Hijron_Ka_Khanqah}} Hijron Ka Khanqah]	57	2	28		 [{{fullurl:wikidata:Q5760318}} Q5760318]
44	[[:en:|en]]	[{{fullurl:en:Sultan_Ghari}} Sultan Ghari]	116	1	28		 [{{fullurl:wikidata:Q7636649}} Q7636649]
45	[[:en:|en]]	[{{fullurl:en:Safdarjung_Airport}} Safdarjung Airport]	304	13	28		 [{{fullurl:wikidata:Q3595637}} Q3595637]
46	[[:en:|en]]	[{{fullurl:en:Thyagaraj_Sports_Complex}} Thyagaraj Sports Complex]	85	4	28		 [{{fullurl:wikidata:Q3521656}} Q3521656]
47	[[:en:|en]]	[{{fullurl:en:Talkatora_Stadium}} Talkatora Stadium]	144	4	28		 [{{fullurl:wikidata:Q3521690}} Q3521690]
48	[[:en:|en]]	[{{fullurl:en:Forman_Christian_College}} Forman Christian College]	272	3	28		 [{{fullurl:wikidata:Q3695416}} Q3695416]
49	[[:en:|en]]	[{{fullurl:en:Bilaspur–Manali–Leh_line}} Bilaspur–Manali–Leh line]	358	1	28		 [{{fullurl:wikidata:Q4907567}} Q4907567]
50	[[:en:|en]]	[{{fullurl:en:Government_of_Himachal_Pradesh}} Government of Himachal Pradesh]	334	2	28		 [{{fullurl:wikidata:Q3632392}} Q3632392]
51	[[:en:|en]]	[{{fullurl:en:Mandi,_Himachal_Pradesh}} Mandi, Himachal Pradesh]	1004	24	27		 [{{fullurl:wikidata:Q195931}} Q195931]
