	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Sanskrit WD Label	WD Qitem
44	[[:en:|en]]	[{{fullurl:en:Agrasen_ki_Baoli}} Agrasen ki Baoli]	704	10	9	[{{fullurl:sa:Old_fort}} Old fort]	 [{{fullurl:wikidata:Q4693773}} Q4693773]
45	[[:en:|en]]	[{{fullurl:en:National_Capital_Region_(India)}} National Capital Region (India)]	4148	21	9		 [{{fullurl:wikidata:Q1249481}} Q1249481]
46	[[:en:|en]]	[{{fullurl:en:Dilli_Haat}} Dilli Haat]	388	6	9		 [{{fullurl:wikidata:Q3595641}} Q3595641]
47	[[:en:|en]]	[{{fullurl:en:ISKCON_Temple_Delhi}} ISKCON Temple Delhi]	221	5	9		 [{{fullurl:wikidata:Q4500907}} Q4500907]
48	[[:en:|en]]	[{{fullurl:en:Yogmaya_Temple}} Yogmaya Temple]	162	5	9		 [{{fullurl:wikidata:Q8054419}} Q8054419]
49	[[:en:|en]]	[{{fullurl:en:Nizamuddin_Dargah}} Nizamuddin Dargah]	531	11	9		 [{{fullurl:wikidata:Q2983384}} Q2983384]
50	[[:en:|en]]	[{{fullurl:en:Siri_Fort}} Siri Fort]	293	6	9		 [{{fullurl:wikidata:Q12069185}} Q12069185]
51	[[:en:|en]]	[{{fullurl:en:Jamali_Kamali_Mosque_and_Tomb}} Jamali Kamali Mosque and Tomb]	177	7	9		 [{{fullurl:wikidata:Q4292384}} Q4292384]
52	[[:en:|en]]	[{{fullurl:en:Jahaz_Mahal}} Jahaz Mahal]	135	4	9		 [{{fullurl:wikidata:Q6123216}} Q6123216]
53	[[:en:|en]]	[{{fullurl:en:Chhatarpur_Temple}} Chhatarpur Temple]	316	5	9		 [{{fullurl:wikidata:Q12414975}} Q12414975]
54	[[:en:|en]]	[{{fullurl:en:Hanuman_Temple,_Connaught_Place}} Hanuman Temple, Connaught Place]	190	4	9		 [{{fullurl:wikidata:Q12459599}} Q12459599]
