	Wiki	Title	Pageviews	Interwiki	English WD Label	WD Qitem
13	[[:hi:|hi]]	[{{fullurl:hi:महंत_घासीदास_स्मारक_संग्रहालय,_रायपुर}} महंत घासीदास स्मारक संग्रहालय, रायपुर]	19	0		 [{{fullurl:wikidata:Q29865985}} Q29865985]
16	[[:de:|de]]	[{{fullurl:de:Royal_Museum}} Royal Museum]	16	4	[{{fullurl:en:Royal_Museum}} Royal Museum]	 [{{fullurl:wikidata:Q1819945}} Q1819945]
18	[[:pt:|pt]]	[{{fullurl:pt:Centro_de_Arte_Moderna_José_de_Azeredo_Perdigão}} Centro de Arte Moderna José de Azeredo Perdigão]	16	4	[{{fullurl:en:Modern_Art_Center_José_de_Azeredo_Perdigão}} Modern Art Center José de Azeredo Perdigão]	 [{{fullurl:wikidata:Q1054339}} Q1054339]
19	[[:zh:|zh]]	[{{fullurl:zh:香港賽馬博物館}} 香港賽馬博物館]	15	2	[{{fullurl:en:Hong_Kong_Racing_Museum}} Hong Kong Racing Museum]	 [{{fullurl:wikidata:Q11667680}} Q11667680]
21	[[:sr:|sr]]	[{{fullurl:sr:Музеј_наивне_и_маргиналне_уметности_у_Јагодини}} Музеј наивне и маргиналне уметности у Јагодини]	14	0		 [{{fullurl:wikidata:Q16087826}} Q16087826]
23	[[:he:|he]]	[{{fullurl:he:ביתן_הלנה_רובינשטיין_לאמנות_בת_זמננו}} ביתן הלנה רובינשטיין לאמנות בת זמננו]	12	2	[{{fullurl:en:Helena_Rubinstein_Pavilion_for_Contemporary_Art}} Helena Rubinstein Pavilion for Contemporary Art]	 [{{fullurl:wikidata:Q7187149}} Q7187149]
24	[[:ru:|ru]]	[{{fullurl:ru:Национальный_музей_Кении}} Национальный музей Кении]	11	7	[{{fullurl:en:Nairobi_National_Museum}} Nairobi National Museum]	 [{{fullurl:wikidata:Q2595707}} Q2595707]
26	[[:es:|es]]	[{{fullurl:es:Museo_de_la_Insurgencia_(Aguascalientes)}} Museo de la Insurgencia (Aguascalientes)]	10	0	[{{fullurl:en:museo_de_la_Insurgencia}} museo de la Insurgencia]	 [{{fullurl:wikidata:Q24503389}} Q24503389]
27	[[:es:|es]]	[{{fullurl:es:Museo_Laboratorio_de_Alexander_Fleming}} Museo Laboratorio de Alexander Fleming]	8	0	[{{fullurl:en:Alexander_Fleming_Laboratory_Museum}} Alexander Fleming Laboratory Museum]	 [{{fullurl:wikidata:Q6033467}} Q6033467]
29	[[:es:|es]]	[{{fullurl:es:Museo_George_C._Page}} Museo George C. Page]	7	0	[{{fullurl:en:George_C._Page_Museum}} George C. Page Museum]	 [{{fullurl:wikidata:Q18397884}} Q18397884]
30	[[:de:|de]]	[{{fullurl:de:German_Occupation_Museum}} German Occupation Museum]	6	0	[{{fullurl:en:German_Occupation_Museum}} German Occupation Museum]	 [{{fullurl:wikidata:Q48109103}} Q48109103]
31	[[:he:|he]]	[{{fullurl:he:בית_אות_המוצר_הירושלמי}} בית אות המוצר הירושלמי]	6	1		 [{{fullurl:wikidata:Q16129555}} Q16129555]
32	[[:de:|de]]	[{{fullurl:de:Archiv_der_Hudson’s_Bay_Company}} Archiv der Hudson’s Bay Company]	5	0	[{{fullurl:en:Hudson's_Bay_Company_Archives}} Hudson's Bay Company Archives]	 [{{fullurl:wikidata:Q635546}} Q635546]
33	[[:de:|de]]	[{{fullurl:de:Mauritius_Postal_Museum}} Mauritius Postal Museum]	5	2		 [{{fullurl:wikidata:Q3329940}} Q3329940]
