	Wiki	Title	Pageviews	Interwiki	Bytes	English WD Label	WD Qitem
11	[[:ja:|ja]]	[{{fullurl:ja:幻影都市}} 幻影都市]	51	2	61232	[{{fullurl:en:Illusion_City}} Illusion City]	 [{{fullurl:wikidata:Q2327199}} Q2327199]
12	[[:ru:|ru]]	[{{fullurl:ru:Бой_при_Лонг-Айленд}} Бой при Лонг-Айленд]	7	0	61183		 [{{fullurl:wikidata:Q4090314}} Q4090314]
14	[[:de:|de]]	[{{fullurl:de:Erongogebirge}} Erongogebirge]	25	6	55836		 [{{fullurl:wikidata:Q1361283}} Q1361283]
15	[[:zh:|zh]]	[{{fullurl:zh:屯門公路巴士轉乘站}} 屯門公路巴士轉乘站]	189	1	54466	[{{fullurl:en:Tuen_Mun_Road_Bus-Bus_Interchange}} Tuen Mun Road Bus-Bus Interchange]	 [{{fullurl:wikidata:Q11043676}} Q11043676]
17	[[:kn:|kn]]	[{{fullurl:kn:ಇಂಡಿ_ತಾಲ್ಲೂಕು}} ಇಂಡಿ ತಾಲ್ಲೂಕು]	5	3	53115	[{{fullurl:en:Indi_Taluk}} Indi Taluk]	 [{{fullurl:wikidata:Q15716524}} Q15716524]
18	[[:zh:|zh]]	[{{fullurl:zh:吉兰丹中华独立中学}} 吉兰丹中华独立中学]	17	0	52681	[{{fullurl:en:Sekolah_Menengah_Persendirian_Chung_Hwa}} Sekolah Menengah Persendirian Chung Hwa]	 [{{fullurl:wikidata:Q10917017}} Q10917017]
19	[[:ceb:|ceb]]	[{{fullurl:ceb:Oscar_Kristofferson_Park}} Oscar Kristofferson Park]	0	0	52115	[{{fullurl:en:Oscar_Kristofferson_Park}} Oscar Kristofferson Park]	 [{{fullurl:wikidata:Q49536285}} Q49536285]
20	[[:ceb:|ceb]]	[{{fullurl:ceb:Star_Lake_State_Wildlife_Management_Area}} Star Lake State Wildlife Management Area]	0	0	52098	[{{fullurl:en:Star_Lake_State_Wildlife_Management_Area}} Star Lake State Wildlife Management Area]	 [{{fullurl:wikidata:Q49565291}} Q49565291]
21	[[:ceb:|ceb]]	[{{fullurl:ceb:Chain_Lake_Baptist_Church_and_Cemetery_Historical_Marker}} Chain Lake Baptist Church and Cemetery Historical Marker]	0	0	52047	[{{fullurl:en:Chain_Lake_Baptist_Church_and_Cemetery_Historical_Marker}} Chain Lake Baptist Church and Cemetery Historical Marker]	 [{{fullurl:wikidata:Q34920300}} Q34920300]
22	[[:ceb:|ceb]]	[{{fullurl:ceb:Summers_State_Wildlife_Management_Area}} Summers State Wildlife Management Area]	0	0	51993	[{{fullurl:en:Summers_State_Wildlife_Management_Area}} Summers State Wildlife Management Area]	 [{{fullurl:wikidata:Q49567279}} Q49567279]
23	[[:ceb:|ceb]]	[{{fullurl:ceb:Thomas_Anderson_Veblen_and_Kari_Bunde_Veblen_Farmstead}} Thomas Anderson Veblen and Kari Bunde Veblen Farmstead]	0	0	51978	[{{fullurl:en:Thomas_Anderson_Veblen_and_Kari_Bunde_Veblen_Farmstead}} Thomas Anderson Veblen and Kari Bunde Veblen Farmstead]	 [{{fullurl:wikidata:Q49570169}} Q49570169]
24	[[:ceb:|ceb]]	[{{fullurl:ceb:Windsor_Village_Historic_District}} Windsor Village Historic District]	0	0	51968	[{{fullurl:en:Windsor_Village_Historic_District}} Windsor Village Historic District]	 [{{fullurl:wikidata:Q49582029}} Q49582029]
25	[[:ceb:|ceb]]	[{{fullurl:ceb:Johnson_State_Wildlife_Management_Area}} Johnson State Wildlife Management Area]	0	0	51955	[{{fullurl:en:Johnson_State_Wildlife_Management_Area}} Johnson State Wildlife Management Area]	 [{{fullurl:wikidata:Q34910921}} Q34910921]
26	[[:ceb:|ceb]]	[{{fullurl:ceb:Whittingham_Fish_and_Wildlife_Management_Area}} Whittingham Fish and Wildlife Management Area]	0	0	51948	[{{fullurl:en:Whittingham_Fish_and_Wildlife_Management_Area}} Whittingham Fish and Wildlife Management Area]	 [{{fullurl:wikidata:Q34869749}} Q34869749]
27	[[:ceb:|ceb]]	[{{fullurl:ceb:Wesley_United_Methodist_Church_Historical_Marker}} Wesley United Methodist Church Historical Marker]	0	0	51931	[{{fullurl:en:Wesley_United_Methodist_Church_Historical_Marker}} Wesley United Methodist Church Historical Marker]	 [{{fullurl:wikidata:Q49578438}} Q49578438]
