	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Malayalam WD Label	WD Qitem
15	[[:en:|en]]	[{{fullurl:en:Mithrananthapuram_Trimurti_Temple}} Mithrananthapuram Trimurti Temple]	25	1	146		 [{{fullurl:wikidata:Q6881667}} Q6881667]
16	[[:en:|en]]	[{{fullurl:en:Kollam_Port}} Kollam Port]	47	1	139		 [{{fullurl:wikidata:Q17067699}} Q17067699]
19	[[:en:|en]]	[{{fullurl:en:Koratty_railway_station}} Koratty railway station]	5	0	115	[{{fullurl:ml:കൊരട്ടി_തീവണ്ടി_നിലയം}} കൊരട്ടി തീവണ്ടി നിലയം]	 [{{fullurl:wikidata:Q6431443}} Q6431443]
20	[[:en:|en]]	[{{fullurl:en:Mulankunnathukavu_railway_station}} Mulankunnathukavu railway station]	13	1	115	[{{fullurl:ml:മുളങ്കുന്നത്തുകാവ്_തീവണ്ടി_നിലയം}} മുളങ്കുന്നത്തുകാവ് തീവണ്ടി നിലയം]	 [{{fullurl:wikidata:Q15260202}} Q15260202]
21	[[:en:|en]]	[{{fullurl:en:Vallathol_Nagar_railway_station}} Vallathol Nagar railway station]	6	1	114	[{{fullurl:ml:വള്ളത്തോൾ_നഗർ_തീവണ്ടി_നിലയം}} വള്ളത്തോൾ നഗർ തീവണ്ടി നിലയം]	 [{{fullurl:wikidata:Q16902488}} Q16902488]
22	[[:en:|en]]	[{{fullurl:en:Divine_Nagar_railway_station}} Divine Nagar railway station]	19	2	114	[{{fullurl:ml:ഡിവൈൻ_നഗർ_തീവണ്ടി_നിലയം}} ഡിവൈൻ നഗർ തീവണ്ടി നിലയം]	 [{{fullurl:wikidata:Q15214169}} Q15214169]
23	[[:en:|en]]	[{{fullurl:en:Mannam_Memorial_Residential_Higher_Secondary_School}} Mannam Memorial Residential Higher Secondary School]	43	0	114		 [{{fullurl:wikidata:Q6750728}} Q6750728]
24	[[:en:|en]]	[{{fullurl:en:Mullurkara_railway_station}} Mullurkara railway station]	4	0	113	[{{fullurl:ml:മുള്ളൂർക്കര_തീവണ്ടി_നിലയം}} മുള്ളൂർക്കര തീവണ്ടി നിലയം]	 [{{fullurl:wikidata:Q15260213}} Q15260213]
25	[[:en:|en]]	[{{fullurl:en:Wadakkanchery_railway_station}} Wadakkanchery railway station]	11	1	113	[{{fullurl:ml:വടക്കാഞ്ചേരി_തീവണ്ടി_നിലയം}} വടക്കാഞ്ചേരി തീവണ്ടി നിലയം]	 [{{fullurl:wikidata:Q7958937}} Q7958937]
26	[[:en:|en]]	[{{fullurl:en:Kerala_Government_Secretariat}} Kerala Government Secretariat]	140	1	111		 [{{fullurl:wikidata:Q6393347}} Q6393347]
