	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Kannada WD Label	WD Qitem
33	[[:en:|en]]	[{{fullurl:en:Thippagondanahalli_Reservoir}} Thippagondanahalli Reservoir]	38	2	64		 [{{fullurl:wikidata:Q7784715}} Q7784715]
34	[[:en:|en]]	[{{fullurl:en:Uttarahalli}} Uttarahalli]	62	12	64		 [{{fullurl:wikidata:Q922409}} Q922409]
35	[[:en:|en]]	[{{fullurl:en:Hulimavu}} Hulimavu]	39	0	64		 [{{fullurl:wikidata:Q4801619}} Q4801619]
36	[[:en:|en]]	[{{fullurl:en:CV_Raman_Nagar}} CV Raman Nagar]	91	1	64		 [{{fullurl:wikidata:Q5014804}} Q5014804]
37	[[:en:|en]]	[{{fullurl:en:Kadugodi}} Kadugodi]	90	0	64		 [{{fullurl:wikidata:Q5321074}} Q5321074]
38	[[:en:|en]]	[{{fullurl:en:Seshadripuram}} Seshadripuram]	49	1	64		 [{{fullurl:wikidata:Q7456049}} Q7456049]
39	[[:en:|en]]	[{{fullurl:en:Ullalu}} Ullalu]	10	0	64		 [{{fullurl:wikidata:Q7879128}} Q7879128]
40	[[:en:|en]]	[{{fullurl:en:Bangalore_Development_Authority}} Bangalore Development Authority]	111	0	64		 [{{fullurl:wikidata:Q4855042}} Q4855042]
41	[[:en:|en]]	[{{fullurl:en:Bommanahalli}} Bommanahalli]	110	20	63		 [{{fullurl:wikidata:Q857762}} Q857762]
42	[[:en:|en]]	[{{fullurl:en:Centre_for_Development_of_Advanced_Computing}} Centre for Development of Advanced Computing]	760	5	63		 [{{fullurl:wikidata:Q3519908}} Q3519908]
43	[[:en:|en]]	[{{fullurl:en:Vrishabhavathi_River}} Vrishabhavathi River]	103	1	63		 [{{fullurl:wikidata:Q7943137}} Q7943137]
44	[[:en:|en]]	[{{fullurl:en:Hebbe_Falls}} Hebbe Falls]	95	9	62		 [{{fullurl:wikidata:Q37304}} Q37304]
45	[[:en:|en]]	[{{fullurl:en:ISKCON_Temple_Bangalore}} ISKCON Temple Bangalore]	494	4	62	[{{fullurl:kn:ಶ್ರೀ_ರಾಧಾ_ಕೃಷ್ಣ_ಮಂದಿರ}} ಶ್ರೀ ರಾಧಾ ಕೃಷ್ಣ ಮಂದಿರ]	 [{{fullurl:wikidata:Q4500903}} Q4500903]
46	[[:en:|en]]	[{{fullurl:en:Murugeshpalya}} Murugeshpalya]	95	1	62	[{{fullurl:kn:ಮುರುಗೇಶ್ಪ_ಳ್ಯ}} ಮುರುಗೇಶ್ಪ ಳ್ಯ]	 [{{fullurl:wikidata:Q6939803}} Q6939803]
47	[[:en:|en]]	[{{fullurl:en:Yesvantpur_Junction_railway_station}} Yesvantpur Junction railway station]	510	2	62		 [{{fullurl:wikidata:Q8052904}} Q8052904]
48	[[:en:|en]]	[{{fullurl:en:Kumbalgodu}} Kumbalgodu]	40	1	62		 [{{fullurl:wikidata:Q28154525}} Q28154525]
49	[[:en:|en]]	[{{fullurl:en:Dasarahalli}} Dasarahalli]	38	18	62		 [{{fullurl:wikidata:Q1193486}} Q1193486]
50	[[:en:|en]]	[{{fullurl:en:Places_of_worship_in_Bangalore}} Places of worship in Bangalore]	120	0	62		 [{{fullurl:wikidata:Q15266961}} Q15266961]
