	Wiki	Title	Pageviews	Interwiki	Inlinks CCC	Tamil WD Label	WD Qitem
36	[[:en:|en]]	[{{fullurl:en:Thervoy_Kandigai}} Thervoy Kandigai]	12	1	421		 [{{fullurl:wikidata:Q3523915}} Q3523915]
37	[[:en:|en]]	[{{fullurl:en:Rajakilpakkam}} Rajakilpakkam]	34	0	421		 [{{fullurl:wikidata:Q7285664}} Q7285664]
38	[[:en:|en]]	[{{fullurl:en:Ponniammanmedu}} Ponniammanmedu]	25	0	421		 [{{fullurl:wikidata:Q15267409}} Q15267409]
39	[[:en:|en]]	[{{fullurl:en:Pulianthope}} Pulianthope]	28	0	421		 [{{fullurl:wikidata:Q24943882}} Q24943882]
40	[[:en:|en]]	[{{fullurl:en:Madras_Motor_Race_Track}} Madras Motor Race Track]	97	2	421		 [{{fullurl:wikidata:Q6074068}} Q6074068]
41	[[:en:|en]]	[{{fullurl:en:Pattalam,_Chennai}} Pattalam, Chennai]	25	0	421		 [{{fullurl:wikidata:Q15265697}} Q15265697]
42	[[:en:|en]]	[{{fullurl:en:Kodungaiyur}} Kodungaiyur]	103	0	421		 [{{fullurl:wikidata:Q6425464}} Q6425464]
43	[[:en:|en]]	[{{fullurl:en:Perambakkam}} Perambakkam]	22	0	421	[{{fullurl:ta:பேரம்பாக்கம்}} பேரம்பாக்கம்]	 [{{fullurl:wikidata:Q30595240}} Q30595240]
44	[[:en:|en]]	[{{fullurl:en:Chennai_Contract_Carriage_Bus_Terminus}} Chennai Contract Carriage Bus Terminus]	12	0	421		 [{{fullurl:wikidata:Q5091432}} Q5091432]
45	[[:en:|en]]	[{{fullurl:en:Hyatt_Regency_Chennai}} Hyatt Regency Chennai]	155	3	421		 [{{fullurl:wikidata:Q5952873}} Q5952873]
46	[[:en:|en]]	[{{fullurl:en:Kothawal_Chavadi}} Kothawal Chavadi]	23	0	421		 [{{fullurl:wikidata:Q6434029}} Q6434029]
47	[[:en:|en]]	[{{fullurl:en:MGR_Nagar}} MGR Nagar]	36	0	421		 [{{fullurl:wikidata:Q6715767}} Q6715767]
48	[[:en:|en]]	[{{fullurl:en:Padappai}} Padappai]	55	0	421		 [{{fullurl:wikidata:Q7123246}} Q7123246]
49	[[:en:|en]]	[{{fullurl:en:Selaiyur}} Selaiyur]	64	0	421		 [{{fullurl:wikidata:Q7447447}} Q7447447]
50	[[:en:|en]]	[{{fullurl:en:Surapet}} Surapet]	26	0	421	[{{fullurl:ta:சுரப்பெட்}} சுரப்பெட்]	 [{{fullurl:wikidata:Q7645413}} Q7645413]
