	Wiki	Title	Pageviews	Interwiki	Javanese WD Label	WD Qitem
102	[[:ka:|ka]]	[{{fullurl:ka:კოროვაი}} კოროვაი]	2	22		 [{{fullurl:wikidata:Q1579864}} Q1579864]
104	[[:id:|id]]	[{{fullurl:id:Kepulauan_Anambas}} Kepulauan Anambas]	13	22	[{{fullurl:jv:Kapuloan_Anambas}} Kapuloan Anambas]	 [{{fullurl:wikidata:Q10096}} Q10096]
106	[[:id:|id]]	[{{fullurl:id:Teluk_Tomini}} Teluk Tomini]	28	21		 [{{fullurl:wikidata:Q1507546}} Q1507546]
107	[[:id:|id]]	[{{fullurl:id:Barisan_Sudirman}} Barisan Sudirman]	30	21		 [{{fullurl:wikidata:Q1420375}} Q1420375]
108	[[:id:|id]]	[{{fullurl:id:SilkAir_Penerbangan_185}} SilkAir Penerbangan 185]	32	21		 [{{fullurl:wikidata:Q1272213}} Q1272213]
110	[[:ja:|ja]]	[{{fullurl:ja:ゆば}} ゆば]	535	21		 [{{fullurl:wikidata:Q2141977}} Q2141977]
112	[[:ms:|ms]]	[{{fullurl:ms:Bajau}} Bajau]	232	21	[{{fullurl:jv:Bajau}} Bajau]	 [{{fullurl:wikidata:Q804127}} Q804127]
114	[[:id:|id]]	[{{fullurl:id:Letusan_Krakatau_1883}} Letusan Krakatau 1883]	432	20		 [{{fullurl:wikidata:Q8094772}} Q8094772]
116	[[:id:|id]]	[{{fullurl:id:Pegunungan_Maoke}} Pegunungan Maoke]	4	20		 [{{fullurl:wikidata:Q1469703}} Q1469703]
118	[[:id:|id]]	[{{fullurl:id:Pulau_Sipora}} Pulau Sipora]	10	20		 [{{fullurl:wikidata:Q761722}} Q761722]
119	[[:id:|id]]	[{{fullurl:id:Meridian_timur_ke-100}} Meridian timur ke-100]	0	20		 [{{fullurl:wikidata:Q2373441}} Q2373441]
121	[[:de:|de]]	[{{fullurl:de:HMS_Exeter_(68)}} HMS Exeter (68)]	94	20		 [{{fullurl:wikidata:Q428315}} Q428315]
122	[[:id:|id]]	[{{fullurl:id:The_Raid_2:_Berandal}} The Raid 2: Berandal]	341	20		 [{{fullurl:wikidata:Q13385946}} Q13385946]
123	[[:ms:|ms]]	[{{fullurl:ms:Bahasa_Gorontalo}} Bahasa Gorontalo]	0	19	[{{fullurl:jv:Gorontalo}} Gorontalo]	 [{{fullurl:wikidata:Q2501174}} Q2501174]
124	[[:id:|id]]	[{{fullurl:id:Kepulauan_Gili}} Kepulauan Gili]	42	19		 [{{fullurl:wikidata:Q1524354}} Q1524354]
125	[[:id:|id]]	[{{fullurl:id:Bahasa_Gayo}} Bahasa Gayo]	107	19		 [{{fullurl:wikidata:Q33286}} Q33286]
127	[[:id:|id]]	[{{fullurl:id:Titik_Indira}} Titik Indira]	6	19		 [{{fullurl:wikidata:Q2341925}} Q2341925]
128	[[:id:|id]]	[{{fullurl:id:Semenanjung_Minahasa}} Semenanjung Minahasa]	15	19		 [{{fullurl:wikidata:Q2741496}} Q2741496]
129	[[:id:|id]]	[{{fullurl:id:Selat_Sumba}} Selat Sumba]	4	19		 [{{fullurl:wikidata:Q2286982}} Q2286982]
130	[[:id:|id]]	[{{fullurl:id:Kepulauan_Togean}} Kepulauan Togean]	8	19		 [{{fullurl:wikidata:Q1499683}} Q1499683]
132	[[:id:|id]]	[{{fullurl:id:Pulau_Obi}} Pulau Obi]	64	19		 [{{fullurl:wikidata:Q2774516}} Q2774516]
133	[[:id:|id]]	[{{fullurl:id:Tanjung_Selor,_Bulungan}} Tanjung Selor, Bulungan]	212	19		 [{{fullurl:wikidata:Q10855339}} Q10855339]
135	[[:id:|id]]	[{{fullurl:id:Pulau_Sebatik}} Pulau Sebatik]	119	19		 [{{fullurl:wikidata:Q737814}} Q737814]
137	[[:id:|id]]	[{{fullurl:id:Kepulauan_Riau_(kepulauan)}} Kepulauan Riau (kepulauan)]	24	19	[{{fullurl:jv:Riau}} Riau]	 [{{fullurl:wikidata:Q1190997}} Q1190997]
138	[[:id:|id]]	[{{fullurl:id:Pulau_Pagai_Utara}} Pulau Pagai Utara]	6	19		 [{{fullurl:wikidata:Q1578700}} Q1578700]
139	[[:be:|be]]	[{{fullurl:be:Талаўд}} Талаўд]	0	19	[{{fullurl:jv:Kabupatèn_Kapuloan_Talaud}} Kabupatèn Kapuloan Talaud]	 [{{fullurl:wikidata:Q15844}} Q15844]
140	[[:th:|th]]	[{{fullurl:th:เส้นเมริเดียนที่_135_องศาตะวันออก}} เส้นเมริเดียนที่ 135 องศาตะวันออก]	23	19		 [{{fullurl:wikidata:Q1349678}} Q1349678]
144	[[:es:|es]]	[{{fullurl:es:Islas_Barat_Daya}} Islas Barat Daya]	2	19		 [{{fullurl:wikidata:Q662674}} Q662674]
145	[[:id:|id]]	[{{fullurl:id:Bendera_Perbara}} Bendera Perbara]	280	19		 [{{fullurl:wikidata:Q783490}} Q783490]
147	[[:id:|id]]	[{{fullurl:id:Pembantaian_di_Indonesia_1965–1966}} Pembantaian di Indonesia 1965–1966]	1481	19		 [{{fullurl:wikidata:Q799299}} Q799299]
150	[[:id:|id]]	[{{fullurl:id:Pulau-Pulau_Babar,_Maluku_Barat_Daya}} Pulau-Pulau Babar, Maluku Barat Daya]	11	19	[{{fullurl:jv:Pulo-Pulo_Babar}} Pulo-Pulo Babar]	 [{{fullurl:wikidata:Q31437}} Q31437]
152	[[:id:|id]]	[{{fullurl:id:Gempa_bumi_Kepulauan_Mentawai_2010}} Gempa bumi Kepulauan Mentawai 2010]	38	18		 [{{fullurl:wikidata:Q1049092}} Q1049092]
154	[[:id:|id]]	[{{fullurl:id:Meridian_timur_ke-120}} Meridian timur ke-120]	4	18		 [{{fullurl:wikidata:Q1349620}} Q1349620]
155	[[:id:|id]]	[{{fullurl:id:Kabupaten_Pulau_Taliabu}} Kabupaten Pulau Taliabu]	70	18	[{{fullurl:jv:Kabupatèn_Pulo_Taliabu}} Kabupatèn Pulo Taliabu]	 [{{fullurl:wikidata:Q676084}} Q676084]
156	[[:id:|id]]	[{{fullurl:id:Gunung_Karangetang}} Gunung Karangetang]	22	18		 [{{fullurl:wikidata:Q1053413}} Q1053413]
158	[[:id:|id]]	[{{fullurl:id:Meridian_timur_ke-140}} Meridian timur ke-140]	0	18		 [{{fullurl:wikidata:Q2457538}} Q2457538]
159	[[:id:|id]]	[{{fullurl:id:Puncak_Mandala}} Puncak Mandala]	15	18		 [{{fullurl:wikidata:Q1512836}} Q1512836]
161	[[:id:|id]]	[{{fullurl:id:Bandar_Udara_Sentani}} Bandar Udara Sentani]	83	18		 [{{fullurl:wikidata:Q963169}} Q963169]
163	[[:id:|id]]	[{{fullurl:id:Stadion_Gelora_Sriwijaya}} Stadion Gelora Sriwijaya]	51	18		 [{{fullurl:wikidata:Q553311}} Q553311]
165	[[:id:|id]]	[{{fullurl:id:Meridian_timur_ke-110}} Meridian timur ke-110]	0	18		 [{{fullurl:wikidata:Q2585991}} Q2585991]
166	[[:id:|id]]	[{{fullurl:id:Gempa_bumi_Lombok_Juli_2018}} Gempa bumi Lombok Juli 2018]	248	18		 [{{fullurl:wikidata:Q55808122}} Q55808122]
168	[[:id:|id]]	[{{fullurl:id:Meridian_timur_ke-130}} Meridian timur ke-130]	0	18		 [{{fullurl:wikidata:Q943912}} Q943912]
169	[[:id:|id]]	[{{fullurl:id:Kepulauan_Batu}} Kepulauan Batu]	19	18		 [{{fullurl:wikidata:Q770646}} Q770646]
176	[[:id:|id]]	[{{fullurl:id:Perang_Aceh}} Perang Aceh]	2305	17		 [{{fullurl:wikidata:Q277450}} Q277450]
178	[[:id:|id]]	[{{fullurl:id:Jimbaran,_Kuta_Selatan,_Badung}} Jimbaran, Kuta Selatan, Badung]	107	17		 [{{fullurl:wikidata:Q670243}} Q670243]
180	[[:id:|id]]	[{{fullurl:id:Pulau_Pagai_Selatan}} Pulau Pagai Selatan]	7	17		 [{{fullurl:wikidata:Q1578047}} Q1578047]
181	[[:id:|id]]	[{{fullurl:id:Lomblen}} Lomblen]	4	17		 [{{fullurl:wikidata:Q771493}} Q771493]
182	[[:id:|id]]	[{{fullurl:id:Batang_Hari}} Batang Hari]	80	17		 [{{fullurl:wikidata:Q810720}} Q810720]
184	[[:id:|id]]	[{{fullurl:id:Ambalau,_Buru_Selatan}} Ambalau, Buru Selatan]	3	17		 [{{fullurl:wikidata:Q456775}} Q456775]
186	[[:id:|id]]	[{{fullurl:id:Puncak_Trikora}} Puncak Trikora]	15	17		 [{{fullurl:wikidata:Q1349622}} Q1349622]
188	[[:id:|id]]	[{{fullurl:id:Kepulauan_Biak}} Kepulauan Biak]	7	17		 [{{fullurl:wikidata:Q1424581}} Q1424581]
189	[[:id:|id]]	[{{fullurl:id:Tambang_Grasberg}} Tambang Grasberg]	94	17		 [{{fullurl:wikidata:Q119297}} Q119297]
191	[[:id:|id]]	[{{fullurl:id:Gempa_bumi_Lombok_5_Agustus_2018}} Gempa bumi Lombok 5 Agustus 2018]	163	17		 [{{fullurl:wikidata:Q55974069}} Q55974069]
193	[[:th:|th]]	[{{fullurl:th:เส้นเมริเดียนที่_95_องศาตะวันออก}} เส้นเมริเดียนที่ 95 องศาตะวันออก]	3	17		 [{{fullurl:wikidata:Q2663207}} Q2663207]
